,actor1,actor2,admin1,admin2,admin3,assoc_actor_1,assoc_actor_2,country,data_id,event_date,event_id_cnty,event_id_no_cnty,event_type,fatalities,geo_precision,inter1,inter2,interaction,iso,iso3,latitude,location,longitude,notes,region,source,source_scale,sub_event_type,time_precision,timestamp,year
0,Protesters (Dominican Republic),,Santo Domingo,Santo Domingo Este,,MINPC: Nigua Independent Movement for Change; We For When; Eagle of Bani Movement,,Dominican Republic,6992669,2020-03-13,DOM102,102,Protests,0,1,6,0,60,214,DOM,18.4719,Santo Domingo,-69.8923,"On 13 March 2020, in Santo Domingo representatives of three political movements chained themselves to the headquarters of the Central Electoral Board, joined by around 12 other members of these same movements. They demand the money which they invested in the municipal elections that were suspended be paid back. [size=around 12]",Caribbean,El Nacional (Dominican Republic),National,Peaceful protest,1,1584380267,2020
1,Protesters (Barbados),,Saint Michael,,,,,Barbados,6992752,2020-03-13,BRB2,2,Protests,0,1,6,0,60,52,BRB,13.1073,Bridgetown,-59.6202,"On 13 March in Bridgetown, Saint Michael, a small group of Guyanan picketed outside the Guyanan consulate in Barbados against the perceived lack of transparency in the elections of March 2020, in Guyana. [size=no report]",Caribbean,Kaieteur News,International,Peaceful protest,1,1584380267,2020
2,Rioters (Barbados),Civilians (Barbados),Saint Michael,,,,,Barbados,6992837,2020-03-13,BRB3,3,Riots,1,1,5,7,57,52,BRB,13.1073,Bridgetown,-59.6202,"On 13 March 2020, in Bridgetown, Sain Michael, a man was beaten by a mob of people and succumbed to his wounds in the hospital. The motive is unclear. [size=no report]",Caribbean,Loop News Barbados,National,Mob violence,1,1584380267,2020
3,Police Forces of Cuba (1959-),Civilians (Cuba),Santiago de Cuba,Santiago de Cuba,,,UNPACU: Patriotic Union of Cuba,Cuba,6992641,2020-03-12,CUB36,36,Violence against civilians,0,1,1,7,17,192,CUB,20.0208,Santiago de Cuba,-75.8267,"On 12 March 2020, in Santiago de Cuba, police officers and officials of the Department of State Security of the Interior Ministry surrounded the house of an activist affiliated to the Patriotic Union of Cuba and Cuba Decides. The officers impeded others from entering her house. One of the officials punched the activist in her face.",Caribbean,CubaNet,National,Attack,1,1584380267,2020
4,Protesters (Cuba),,Villa Clara,Santa Clara,,,,Cuba,6992643,2020-03-12,CUB35,35,Protests,0,1,6,0,60,192,CUB,22.4069,Santa Clara,-79.9647,"On 12 March 2020, in Santa Clara, Villa Clara, around a hundred protesters marched in protest of the closure of stores were imported goods including medicine are sold. [size=around a hundred]",Caribbean,CubaNet,National,Peaceful protest,1,1584380267,2020
5,Unidentified Armed Group (Puerto Rico),Civilians (Puerto Rico),San Juan,,,,,Puerto Rico,6992718,2020-03-12,PRT253,253,Violence against civilians,2,1,3,7,37,630,PRI,18.4663,San Juan,-66.1057,"On 12 March 2020, in San Juan, Puerto Rico, two men were shot by various unknown individuals. The shooters did not rob the two men of a large sum of cash they had on them.",Caribbean,El Vocero de Puerto Rico,National,Attack,1,1584380267,2020
6,Police Forces of Haiti (2011-),Civilians (Haiti),Ouest,Port-au-Prince,Delmas,,Government of Haiti (2011-),Haiti,6992836,2020-03-12,HTI576,576,Violence against civilians,0,1,1,7,17,332,HTI,18.5447,Delmas,-72.3028,"On March 12, 2020, in Delmas, Port-au-Prince, Ouest, a Haitian senator's car was stopped, the senator was beaten and tied up by police in Fragneau Ville.",Caribbean,Le Nouvelliste,National,Attack,1,1584380267,2020
7,Protesters (Dominican Republic),Police Forces of Dominican Republic (2004-),Santo Domingo,Santo Domingo Este,,Health Workers (Dominican Republic),,Dominican Republic,6992668,2020-03-11,DOM101,101,Protests,0,1,6,1,16,214,DOM,18.4719,Santo Domingo,-69.8923,"On 11 March 2020, in Santo Domingo medical staff protested to demand the government to comply with previously agreed upon salary and retirement legislation. Police used shields and fences, as well as blows and kicks to keep the protestors away from the national palace. [size=no report]",Caribbean,El Nacional (Dominican Republic),National,Protest with intervention,1,1584380267,2020
8,Unidentified Armed Group (Trinidad and Tobago),Civilians (Trinidad and Tobago),Tunapuna/Piarco,,,,,Trinidad and Tobago,6992937,2020-03-11,TTQ224,224,Violence against civilians,1,1,3,7,37,780,TTO,10.7106,Maracas,-61.4197,"On 11 March 2020, in Maracas, Tunapuna/Piarco, three gunmen entered a house and killed the man who lived there and dragged his partner outside. The three men were wearing bulletproof vests that said ""Police"".",Caribbean,Trinidad and Tobago Guardian,National,Attack,1,1584380267,2020
9,Rioters (Haiti),,Ouest,Port-au-Prince,Port-au-Prince,,,Haiti,6992626,2020-03-11,HTI574,574,Riots,0,2,5,0,50,332,HTI,18.5435,Port-au-Prince,-72.3388,"On 11 March 2020, south of Port-au-Prince, demonstrators blocked the road and slashed the tires of trucks. Demonstrators demanded the completion of a hospital which is under construction. [size=no report]",Caribbean,Alterpresse,National,Violent demonstration,1,1584380267,2020
